idx,original_post,sentence1,sentence2,automatic_antithesis,gold_label,real_antithesis,contrast
61,"Kulturrevolution in Deutschland: Die Parks sind verwahrlost, Hundekot und anderer Kot hinter den Bänken, Plastik und Masken überall. Der öffentliche Raum wird zur öffentlichen Toilette. Menschen futtern aus Pappschachteln an der Straßenecke. Sie trinken im Gehen aus Plastikbechern. Theater und Konzerte online zu Hause in der Jogginghose. Corona Kollateralschäden, an die man sich gewöhnt hat. ",Menschen futtern aus Pappschachteln an der Straßenecke,Sie trinken im Gehen aus Plastikbechern,1,1,1,1
62,"Kulturrevolution in Deutschland: Die Parks sind verwahrlost, Hundekot und anderer Kot hinter den Bänken, Plastik und Masken überall. Der öffentliche Raum wird zur öffentlichen Toilette. Menschen futtern aus Pappschachteln an der Straßenecke. Sie trinken im Gehen aus Plastikbechern. Theater und Konzerte online zu Hause in der Jogginghose. Corona Kollateralschäden, an die man sich gewöhnt hat. ",Menschen futtern aus Pappschachteln an der Straßenecke,Konzerte online zu Hause in der Jogginghose,0,0,1,1
63,"Anscheinend ist die Regierung erpicht darauf, ihre Bevölkerung weiter im Lockdown und zu Hause zu halten.' – ein Krankenhausarzt in leitender Stellung beschreibt, wie es wirklich in den Kliniken aussieht – und warnt: 'Wir werden langsam darauf vorbereitet, dass die Nicht Geimpften vom öffentlichen Leben ausgeschlossen werden sollen.' ",ihre Bevölkerung weiter im Lockdown und zu Hause zu halten,ein Krankenhausarzt in leitender Stellung beschreibt,0,0,0,0
64,"Es war eine Mitarbeiterin aus meinem Team, die mich darauf aufmerksam machte, wie ein Intensivpfleger vor laufender Kamera Ohrfeigen an den Minister austeilte – und wie der es lange nicht merkte. Ein schnell geschnittenes Video und ein Text dazu brachen dann alle Rekorde. ",die mich darauf aufmerksam machte,wie der es lange nicht merkte,0,0,0,0
65,"Merkel ist Großmeisterin der verbalen Nebelkerzen. Dass dies so wenigen auffällt, liegt wohl daran, dass ihr kaum einer länger zuhören kann. Ich habe mir die Mühe gemacht. Es war hart. Aber lohnend. Sehen Sie ab 18 Uhr die Kanzlerin von einer neuen Seite. ",Dass dies so wenigen auffällt,dass ihr kaum einer länger zuhören kann,0,0,0,0
66,"Offener Protest aus der Armee   steht Frankreich vor einem Putsch? Es ist schwer vorzustellen, dass die ehrwürdige, französische Demokratie durch einen militärischen Umsturz Schaden nehmen könnte. Aber derzeit wird in Frankreich genau das diskutiert.  ",Offener Protest aus der Armee,steht Frankreich vor einem Putsch,0,0,0,1
67,„Ganz Berlin hasst die Polizei“   Staatstragende Antifa marschiert im eigenen Scherbenhaufen: Die „revolutionäre“ 1. Mai Demonstration in Berlin war eher eine Sauf  und Rauf Veranstaltung der Linken Szene. Mit Politik hat das nichts zu tun. b0105.,Staatstragende Antifa marschiert im eigenen Scherbenhaufen,Rauf Veranstaltung der Linken Szene,0,0,0,0
68,"Der Staat will um jeden Preis verhindern, dass Kritiker der Corona Maßnahmen Blumen am Amtsgericht Weimar niederlegen   und geht dabei offenbar mit Mitteln vor, deren Verhältnismäßigkeit zu bezweifeln ist. Gemacht wird genau das, was die Regierung in anderen Ländern kritisiert. Woher kommt die Angst vor den Bürgern? ",Der Staat will um jeden Preis verhindern,was die Regierung in anderen Ländern kritisiert,0,0,0,1
69,"Leserpost: „Wollte gerade eine Rose am Amtsgericht Charlottenburg ablegen, da kam ein amtlich gekleideter Herr und sagte: Sie können das gleich wieder mitnehmen, sonst schmeiße ich es weg. Ich fragte ihn, warum er das mache. Er sagte, es sei von der Polizei so angeordnet. Auch Trauer über einen Verlust (Unabhängigkeit der Richterschaft) ist nicht mehr erlaubt.“",Wollte gerade eine Rose am Amtsgericht Charlottenburg ablegen,da kam ein amtlich gekleideter Herr und sagte,0,0,0,0
70,"Leserpost: „Wollte gerade eine Rose am Amtsgericht Charlottenburg ablegen, da kam ein amtlich gekleideter Herr und sagte: Sie können das gleich wieder mitnehmen, sonst schmeiße ich es weg. Ich fragte ihn, warum er das mache. Er sagte, es sei von der Polizei so angeordnet. Auch Trauer über einen Verlust (Unabhängigkeit der Richterschaft) ist nicht mehr erlaubt.“",Sie können das gleich wieder mitnehmen,ist nicht mehr erlaubt,0,0,0,0
71,"Leserpost: „Wollte gerade eine Rose am Amtsgericht Charlottenburg ablegen, da kam ein amtlich gekleideter Herr und sagte: Sie können das gleich wieder mitnehmen, sonst schmeiße ich es weg. Ich fragte ihn, warum er das mache. Er sagte, es sei von der Polizei so angeordnet. Auch Trauer über einen Verlust (Unabhängigkeit der Richterschaft) ist nicht mehr erlaubt.“",Auch Trauer über einen Verlust,Unabhängigkeit der Richterschaft,0,0,0,0
72,"Journalismus muss den Regierenden weh tun. Sonst ist er keiner. Doch im selbst ernannten 'besten Deutschland aller Zeiten' ist es allzu oft umgekehrt. Journalismus, der den Regierenden weh tut, ist unerwünscht und verpönt. Das erlebte ich am Freitag auf der Bundespressekonferenz quasi hautnah. ",Journalismus muss den Regierenden weh tun,der den Regierenden weh tut,0,0,0,1
73,"Manipulieren mit Zahlen im Tagesspiegel. Würde man die 40000 „Neuinfektionen“ (richtig wäre: Positive beim PCR Test) in Indien ins Verhältnis zur Bevölkerung setzen, würden sie gut 24.000 in Deutschland entsprechen. Damit wäre aber der Grusel Effekt verloren.",in Indien ins Verhältnis zur Bevölkerung setzen,Damit wäre aber der Grusel Effekt verloren,0,0,0,0
74,"25000. Danke. Dafür, dass Sie das Ruckeln im Bild verzeihen. Das Rauschen im Ton ertragen. Meine Fehler. Und meine Zerstreutheit.  Im Gegenzug verspreche ich: Ich strenge mich weiter an.  Und bleibe unbequem.   Leider bis auf weiteres auch mit Bild, Ton und Technik!",dass Sie das Ruckeln im Bild verzeihen,Das Rauschen im Ton ertragen,0,0,0,0
75,"25000. Danke. Dafür, dass Sie das Ruckeln im Bild verzeihen. Das Rauschen im Ton ertragen. Meine Fehler. Und meine Zerstreutheit.  Im Gegenzug verspreche ich: Ich strenge mich weiter an.  Und bleibe unbequem.   Leider bis auf weiteres auch mit Bild, Ton und Technik!",Meine Fehler,Und meine Zerstreutheit,0,0,0,0
76,"Die Bundesregierung und die meisten Bundesländer erhalten wider alle Logik eine ebenso sinnlose wie schikanöse Quarantäneregelung aufrecht, deren einziges Ziel es ist, Menschen nach dem Willen der Bundeskanzlerin von Urlaubsreisen abzuhalten, und nehmen dabei Schäden in Milliardenhöhe und den Verlust von Zehntausenden Arbeitsplätzen in Kauf.  Ein Gastbeitrag.  ",Die Bundesregierung,Ein Gastbeitrag,0,0,0,0
77,"Unglaublich: Intakte Viren in Corona Impfstoff entdeckt. Bei Sputnik V – dem Vakzin, auf das Söder setzt.  Brasiliens Behörden haben die Zulassung gestoppt: Ein Trägervirus sei aktiv, schwere Erkrankungen deshalb möglich. Moskau spricht von Fake News. ",Intakte Viren in Corona Impfstoff entdeckt,Brasiliens Behörden haben die Zulassung gestoppt,0,0,0,0
78,"Der Tod ist für Intensivschwester Tine seit 30 Jahren ein ständiger Begleiter. Lange vor der Coronapandemie waren Intensivbetten und Pflegepersonal knapp. „Um die massiven Grundrechtseingriffe zu begründen, werden Intensivstationen von der Politik jetzt als Alibi herangezogen“, klagt sie. Während Ärzte und Kolleginnen sich mit Kritik bedeckt halten: Tine hat für diese Angst und Panikmache kein Verständnis. ",Lange vor der Coronapandemie waren Intensivbetten und Pflegepersonal knapp,Während Ärzte und Kolleginnen sich mit Kritik bedeckt halten,0,0,0,0
79,"Der Tod ist für Intensivschwester Tine seit 30 Jahren ein ständiger Begleiter. Lange vor der Coronapandemie waren Intensivbetten und Pflegepersonal knapp. „Um die massiven Grundrechtseingriffe zu begründen, werden Intensivstationen von der Politik jetzt als Alibi herangezogen“, klagt sie. Während Ärzte und Kolleginnen sich mit Kritik bedeckt halten: Tine hat für diese Angst und Panikmache kein Verständnis. ",werden Intensivstationen von der Politik jetzt als Alibi herangezogen“,Während Ärzte und Kolleginnen sich mit Kritik bedeckt halten,0,0,0,0
80,"Der Tod ist für Intensivschwester Tine seit 30 Jahren ein ständiger Begleiter. Lange vor der Coronapandemie waren Intensivbetten und Pflegepersonal knapp. „Um die massiven Grundrechtseingriffe zu begründen, werden Intensivstationen von der Politik jetzt als Alibi herangezogen“, klagt sie. Während Ärzte und Kolleginnen sich mit Kritik bedeckt halten: Tine hat für diese Angst und Panikmache kein Verständnis. ",werden Intensivstationen von der Politik jetzt als Alibi herangezogen“,Tine hat für diese Angst und Panikmache kein Verständnis,0,0,0,0
81,"Öffentlich rechtliche Pervertierung der Meinungsfreiheit: Die ARD bekennt sich zum 'freien Austausch von Meinungen'. Laut dem Kleingedruckten der Initiative, bei der sie mitmacht, kann sie aber alle Meinungen, die nicht zu ihrer passen, ausschließen. ",Öffentlich rechtliche Pervertierung der Meinungsfreiheit,Laut dem Kleingedruckten der Initiative,0,0,0,1
82,"Das Tragen von Masken führt zu massiven Gesundheitsschäden. Zu diesem Ergebnis kommt eine neue Meta Analyse, die 65 wissenschaftliche Studien ausgewertet hat. Die Folgen reichen bis zu kardiovaskulären und neurologischen Erkrankungen. ",Das Tragen von Masken führt zu massiven Gesundheitsschäden,Zu diesem Ergebnis kommt eine neue Meta Analyse,0,0,0,0
83,"Das Tragen von Masken führt zu massiven Gesundheitsschäden. Zu diesem Ergebnis kommt eine neue Meta Analyse, die 65 wissenschaftliche Studien ausgewertet hat. Die Folgen reichen bis zu kardiovaskulären und neurologischen Erkrankungen. ",Das Tragen von Masken führt zu massiven Gesundheitsschäden,Die Folgen reichen bis zu kardiovaskulären und neurologischen Erkrankungen,1,0,0,0
84,"Das Tragen von Masken führt zu massiven Gesundheitsschäden. Zu diesem Ergebnis kommt eine neue Meta Analyse, die 65 wissenschaftliche Studien ausgewertet hat. Die Folgen reichen bis zu kardiovaskulären und neurologischen Erkrankungen. ",Zu diesem Ergebnis kommt eine neue Meta Analyse,Die Folgen reichen bis zu kardiovaskulären und neurologischen Erkrankungen,0,0,0,0
85,"„Ich kann meinen Mund nicht mehr halten, ohne daran zu erkranken“ – StudentenStehenAuf: Die Orte der Forschung und des Wissens, der Kritiker, die sich für Diskurs und Aufklärung einsetzten, sind wie der Rest der Gesellschaft in Panik verfallen. Kritische Studenten werden gebrandmarkt, sobald sie Kritik an den Maßnahmen der Regierung äußern. Doch sie stehen jetzt auf. Und appellieren an die Universitäten Deutschlands. ",des Wissens,der Kritiker,0,0,0,0
87,"Heute vor 35 Jahren explodierte der vierte Reaktorblock des Atomkraftwerks Tschernobyl. 2001 war ich für eine Reportage in dem Unglücksreaktor. Und in der Geisterstadt Prypjat.  Es war wie ein Ausflug in die Hölle, den ich nie vergessen werde. ",2001 war ich für eine Reportage in dem Unglücksreaktor,Es war wie ein Ausflug in die Hölle,1,0,0,0
88,"Kaum hat ein Weimarer Richter eine sensationelle Entscheidung gegen die Masken  und Testpflicht an Schulen gefällt, schon ist er selbst im Fadenkreuz der Justiz: Ermittler durchsuchten sein Büro, sein Auto und seine Wohnung, sein Handy wurde beschlagnahmt.  Es bestehe ein Anfangsverdacht, dass sich der Richter einer Beugung des Rechts schuldig gemacht habe, so die  Staatsanwaltschaft Erfurt. ",Ermittler durchsuchten sein Büro,Es bestehe ein Anfangsverdacht,0,0,0,0
89,"Kaum hat ein Weimarer Richter eine sensationelle Entscheidung gegen die Masken  und Testpflicht an Schulen gefällt, schon ist er selbst im Fadenkreuz der Justiz: Ermittler durchsuchten sein Büro, sein Auto und seine Wohnung, sein Handy wurde beschlagnahmt.  Es bestehe ein Anfangsverdacht, dass sich der Richter einer Beugung des Rechts schuldig gemacht habe, so die  Staatsanwaltschaft Erfurt. ",sein Auto,seine Wohnung,0,0,0,0
90,Thea ist ein Wunschkind. Doch Mama Cindy wird krank während der Schwangerschaft. Thea kommt viel zu früh zur Welt. Nur kurz hat Cindy nach der Geburt Theas Ärmchen gesehen. Dann werden Mutter und Kind getrennt. Frühchen Thea und ihr Papa Sven dürfen die Mama nicht sehen. Besuchsverbot! Corona Kollateralschaden.,Frühchen Thea,Corona Kollateralschaden,0,0,0,0
91,"Sie haben sich umgehend distanziert. Das wird Ihnen nicht helfen, denn es geht nicht darum, was Sie denken und fühlen, sondern nur darum, dass Sie mit aller Härte bestraft werden müssen für das Sakrileg, diese Regierung kritisiert zu haben.' Ein offener Brief von Vera Lengsfeld an Jan Josef Liefers. ",Sie haben sich umgehend distanziert,Das wird Ihnen nicht helfen,0,0,0,0
92,"8000 Twitter Follower, 24000 Youtube Abonnenten, 14 Millionen Seitenaufrufe seit 1. April.  Das zeigt: Die Versuche, Kritiker mit Hass, Hetze und Lügen zu diffamieren, statt zu diskutieren, gehen nach hinten los. Eigentore!  Die Menschen sind viel klüger, als viele glauben.",8000 Twitter Follower,24000 Youtube Abonnenten,0,0,0,1
93,"8000 Twitter Follower, 24000 Youtube Abonnenten, 14 Millionen Seitenaufrufe seit 1. April.  Das zeigt: Die Versuche, Kritiker mit Hass, Hetze und Lügen zu diffamieren, statt zu diskutieren, gehen nach hinten los. Eigentore!  Die Menschen sind viel klüger, als viele glauben.",Das zeigt,als viele glauben,0,0,0,1
94,"CORONA IN CHINA: Fiebermessen statt Lockdown. Schüler toben, singen und tanzen, Straßen sind voll, Senioren spielen Karten, Masken und Impfen   eigene Entscheidung. Das Corona Ursprungsland China zeigt, wie das Leben auch mit Virus aufblühen kann. ",CORONA IN CHINA,Fiebermessen statt Lockdown,0,0,0,0
95,"Die Grünen haben die Gesellschaft an den Notstand gewöhnt. Das System wird uns auch in Zukunft erhalten bleiben – ganz egal, wer regiert. Es ist kein Wunder, dass die Heimat der 'German Angst' gleichzeitig die Wiege grüner Politik ist. Immer, wenn sich Deutschland in Not wähnt, läuft es grün an. Das neue Video von Matthias Heitmann. ",Die Grünen haben die Gesellschaft an den Notstand gewöhnt,Das neue Video von Matthias Heitmann,0,0,0,0
96,"Nach massiver Hetze gegen die Aktion allesdichtmachen hat der Mit Initiator mit einem bewegenden Text geantwortet. 'Ihr seid zynisch und menschenverachtend', hält er seinen Kritikern vor: 'Warum muss unsere ganze Gesellschaft in eine Art Kriegszustand?' Ich denke, damit ist die entscheidende Frage der ganzen aktuellen Situation gestellt. Viele merken nicht (mehr), wie sie gerade auf die Mistgabel des totalitäten Denkens  treten, das uns immer wieder in den Abgrund gestürzt hat.  ",Warum muss unsere ganze Gesellschaft in eine Art Kriegszustand,wie sie gerade auf die Mistgabel des totalitäten Denkens  treten,0,0,0,0
97,"Kaum tun Künstler das, was in Demokratien selbstverständlich sein sollte – Kritik der Politik mit Satire, schon läuft die Empörungsmaschinerie an, sie werden als Nazis verunglimpft. Doch das entlarvt die Dauer Empörten. Sie stehen mit einem Mal nackt und alt da. ",Kaum tun Künstler das,schon läuft die Empörungsmaschinerie an,0,0,0,1
98,"Das unfassbare Versagen des Jens Spahn: Politiker wie der Minister betonen bei jeder Gelegenheit gern ihre Sorge um die Bevölkerung und wie entschieden sie gegen die Corona Pandemie kämpfen. Doch ein genauerer Blick auf die Krankenhausdaten verrät: Gerade der Gesundheitsminister hätte sehr viel mehr tun können, um Menschenleben in dieser Krise zu retten. ",Das unfassbare Versagen des Jens Spahn,Doch ein genauerer Blick auf die Krankenhausdaten verrät,0,0,0,1
99,"Wenn es um andere Länder geht, kritisiert unsere Bundesregierung regelmäßig und lautstark Übergriffe auf Journalisten. Im eigenen Land scheint sie es mit dem Hinsehen dagegen nicht so genau zu nehmen – so mein Eindruck heute bei der Befragung von Merkels Sprecherin. ",kritisiert unsere Bundesregierung regelmäßig und lautstark Übergriffe auf Journalisten,so mein Eindruck heute bei der Befragung von Merkels Sprecherin,0,0,0,1
100,"Weil noch nicht genau bekannt ist, wie lange der Corona Impfstoff wirkt und wie er die Übertragung des Virus reduziert, werde es auch nach einer Durchimpfung möglicherweise kein sofortiges, völliges Ende der Corona Maßnahmen geben, warnt der PEI Präsident. ",wie lange der Corona Impfstoff wirkt,völliges Ende der Corona Maßnahmen geben,0,0,0,0
101,"Ab jetzt wird es grün. Richtig dunkelgrün. Es wird Enteignungen geben, Klima Lockdowns. Und in den Schulen wird eine Umerziehung in Gang gesetzt werden, die ihresgleichen sucht. Der Umbau des deutschen Menschen hat begonnen. Eine düstere Vorhersage von Alexander Wallasch. ",Und in den Schulen wird eine Umerziehung in Gang gesetzt werden,Der Umbau des deutschen Menschen hat begonnen,0,0,0,0
